District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Montague Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96064,"""Montague                      """,178,3.4,6.2,4.5,1.1,0,14.6,0,5.1,0,68.5,66.9,2.25,35,N/A,N/A,17.8,2,7,183,180,3,8,6.9,14.5,35.4,38.94,14585,0,0,60,4,8,15,12
Monte Rio Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95462,"""Monte Rio                     """,68,8.8,0,0,0,0,19.1,0,14.7,2.9,63.2,75,0,36,N/A,N/A,13.6,0,5,184,180,0,12,8.2,32.9,23.26,65.12,37543,0,0,52,7,13,19,9
Montebello Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90640,"""Montebello                    """,19195,25.1,0.1,2.2,0.4,0.4,95.8,0,0.3,0,0.8,86.2,24.69,5,88.2,88.9,19.9,1,961,185,181,12,20,2,17.6,25.92,37.01,24535,0,1,59,13,5,12,10
Montecito Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-06,93108,"""Santa Barbara                 """,353,3.1,0,0,0.3,0,12.5,0,8.2,4.5,74.5,5.1,4.82,24,N/A,N/A,11,0,33,185,180,0,25,1.2,7.4,91.63,90.78,43932,0,0,48,2,13,10,14
Monterey County Office of Education (Monterey),Monterey,County Office of Education (COE),No,K-12,93912,"""Salinas                       """,1878,17.5,0.4,2,1.2,1.2,63.1,0.6,5.9,1.7,24,52.9,17.25,37,67.7,65.5,15.1,8,107,184,180,18,11,2,25.7,6.84,21.69,N/A,0,0,32,11,17,27,7
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,No,K-12,93940,"""Monterey                      """,9949,22.8,0.3,4.3,4.6,3.6,61.1,1.4,4.8,1,18.9,68.5,25.42,41,95.5,95.4,19.1,60,430,185,180,106,11,3.1,14.1,27.42,41.57,20953,0,1,55,15,6,13,10
Montgomery Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95421,"""Cazadero                      """,23,4.3,0,0,0,0,17.4,0,4.3,0,78.3,60.9,0,23,N/A,N/A,7.7,1,2,N/A,N/A,1,5,7.4,28,38.46,46.15,44905,0,0,57,4,16,16,7
Moorpark Unified (Ventura),Ventura,Unified School District,No,K-12,93021,"""Moorpark                      """,5677,9.7,0.1,5.1,1.1,1.2,50.9,0.1,5.1,0,36.4,36.1,17.12,44,94.2,92.2,23,25,226,187,180,48,14,2.5,12.5,44.72,59.04,16389,0,0,53,12,9,10,14
Moraga Elementary (Contra Costa),Contra Costa,Elementary School District,No,K-08,94556,"""Moraga                        """,1805,3.9,0.2,17.8,1,1.4,11.5,0.1,17.9,3.6,46.5,5.6,15.46,53,N/A,N/A,19.3,8,80,186,180,20,12,0.5,3.9,74.77,81.27,17248,0,0,63,6,7,12,9
Moreland (Santa Clara),Santa Clara,Elementary School District,No,K-08,95130,"""San Jose                      """,3796,27.6,0.2,29,2.5,2.4,36.9,0.7,6.9,4.4,17,36.4,23.02,58,N/A,N/A,20.1,2,186,185,180,10,15,2.1,12.1,56.36,63.46,20930,1,0,59,9,8,12,9
Moreno Valley Unified (Riverside),Riverside,Unified School District,No,K-12,92553,"""Moreno Valley                 """,30926,17.3,0.2,2,11.7,1.1,75.2,0.6,2.4,1.4,5.3,87.2,18.67,26,93.3,93.3,21.4,49,1310,184,180,134,13,2.9,26.6,19.24,35.11,21463,0,0,66,9,3,10,12
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,No,K-12,95037,"""Morgan Hill                   """,8483,15.3,0.3,8.5,1.3,2.3,52.5,0.3,6.4,3.3,25.1,37.2,14.97,47,95.5,91.1,21.6,41,340,185,180,80,11,3.5,19.4,35.56,47.11,18433,0,1,60,13,6,10,10
Morongo Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92277,"""Twentynine Palms              """,7225,3.3,0.6,1,7.8,1,40,0.9,4.7,0.2,43.8,66.5,4.37,48,84.3,83.5,18.6,61,292,184,180,100,11,8,30.3,23.02,36.51,22117,0,0,56,11,7,12,13
Mother Lode Union Elementary (El Dorado),El Dorado,Elementary School District,No,K-08,95667,"""Placerville                   """,843,11.2,2.5,0.5,0.2,1.1,34.2,0.1,4,0,57.4,51.5,7.71,39,N/A,N/A,17.6,4,41,183,180,7,13,9.9,15.9,26.01,38.14,18337,0,3,56,8,7,10,11
Mount Pleasant Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95148,"""San Jose                      """,1516,40.8,0.2,12.8,1.9,1.3,77,1.3,2.2,1.3,2,75,13.13,24,N/A,N/A,20.3,7,63,185,180,14,12,1.6,21,21.65,32.25,27150,0,0,58,8,9,16,7
Mountain Elementary (Santa Cruz),Santa Cruz,Elementary School District,No,K-06,95073,"""Soquel                        """,143,N/A,0,4.2,0.7,0,18.2,0,9.1,0,67.8,14.7,4.2,34,N/A,N/A,13.1,3,10,185,180,3,10,0,10.3,62.5,68.75,20100,0,0,63,6,7,16,7
Mountain Empire Unified (San Diego),San Diego,Unified School District,No,K-12,91962,"""Pine Valley                   """,4402,16.3,2.4,1.1,2.7,0.6,48.9,0.1,7.7,0.6,35.8,53.8,10.77,46,78.6,77.7,16.6,6,326,N/A,N/A,25,14,1.8,19,13.1,26.15,23242,0,1,58,13,6,9,10
Mountain House Elementary (Alameda),Alameda,Elementary School District,No,K-08,94514,"""Byron                         """,14,21.4,0,0,0,0,78.6,0,0,0,21.4,14.3,28.57,22,N/A,N/A,14,0,1,184,180,0,16,0,27.8,38.46,69.23,50043,0,3,53,1,8,17,17
Mountain Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96065,"""Montgomery Creek              """,70,N/A,20,0,0,0,17.1,0,12.9,0,50,75.7,N/A,51,N/A,N/A,11.3,2,4,N/A,N/A,2,10,6.7,42.7,23.53,33.33,38006,0,0,52,17,13,7,11
Mountain Valley Unified (Trinity),Trinity,Unified School District,No,K-12,96041,"""Hayfork                       """,346,13.6,2.3,24,0.3,0,9,0,9,0.9,54.6,75.4,8.96,46,92,91.3,21.6,1,16,184,180,1,15,0.5,15.5,50.29,53.71,21820,0,4,47,8,4,9,25
Mountain View Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,91732,"""El Monte                      """,4463,42.6,0.1,6.1,0.2,0.4,92.9,0,0,0,0.4,90.1,20.08,8,N/A,N/A,19.2,16,205,185,180,28,20,2,16.6,41.61,52.76,26777,0,0,64,6,6,14,9
Mountain View Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91761,"""Ontario                       """,3318,14,0.2,16.2,8.3,5.8,58.8,0.2,2.2,0.1,8.2,56.3,10.49,45,N/A,N/A,22.7,5,135,184,180,11,13,1.8,13.8,19.4,32.3,15428,0,0,61,10,7,8,8
Mountain View Whisman (Santa Clara),Santa Clara,Elementary School District,No,K-08,94043,"""Mountain View                 """,4644,23.4,0,22.7,1,1.9,38.6,0.4,12.4,0.2,22.8,27.9,27.58,59,N/A,N/A,18.3,8,234,187,180,24,13,2.8,10.8,58.29,62.98,27113,0,0,63,6,11,12,8
Mountain View-Los Altos Union High (Santa Clara),Santa Clara,High School District,No,09-12,94040,"""Mountain View                 """,4459,7.6,0.1,28,1,2,25.5,0.6,11.3,0,31.3,15.2,38.35,61,94.7,91,18.2,5,253,186,182,12,16,1.2,11.1,67.5,78.55,35105,0,2,60,10,9,11,7
Mt. Baldy Joint Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91759,"""Mt. Baldy                     """,20,N/A,0,5.1,0,0,41,0,0,0,53.8,10,N/A,38,N/A,N/A,10,0,1,185,180,1,3,4.2,10.3,40,58.33,18151,0,0,48,13,17,17,6
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,No,K-12,94519,"""Concord                       """,30163,21.3,0.1,9.5,3.4,4.1,43.1,0.7,8.9,3.3,27,52.2,18.57,56,89.5,88.1,23.3,78,1124,185,180,194,14,3.1,20.9,38.7,48.11,19016,0,1,62,11,5,11,10
Mt. Shasta Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96067,"""Mount Shasta                  """,469,1.9,0.4,0.4,1.5,0.4,11.7,0.9,3.8,0,80.8,37.3,1.07,21,N/A,N/A,20.2,5,18,184,180,6,11,2.7,66.7,34.44,34.65,17069,0,1,58,4,11,11,13
Mulberry Elementary (Imperial),Imperial,Elementary School District,No,K-08,92227,"""Brawley                       """,61,14.8,0,0,3.3,0,54.1,0,0,8.2,34.4,45.9,8.2,36,N/A,N/A,15.3,1,2,187,180,2,5,0,0,36.59,58.54,19526,0,0,55,4,11,16,13
Mupu Elementary (Ventura),Ventura,Elementary School District,No,K-08,93060,"""Santa Paula                   """,175,12.6,0,0.6,0,1.1,74.9,0,0,0,23.4,60,9.14,25,N/A,N/A,16.7,1,11,184,182,1,10,5.6,8.5,32.71,43.52,16893,0,0,55,7,6,13,18
Muroc Joint Unified (Kern),Kern,Unified School District,No,K-12,93523,"""North Edwards                 """,1803,0.6,0.3,0.7,6.7,3.1,37.9,0.2,10,7.9,33.1,31.3,8.1,53,97.2,95.7,17.2,11,90,184,180,19,11,2.9,32.5,22.11,35.64,18670,0,2,57,10,10,7,14
Murrieta Valley Unified (Riverside),Riverside,Unified School District,No,K-12,92562,"""Murrieta                      """,21712,5,0.2,4.1,5.2,3.7,43.3,0.5,8.5,1.7,32.8,53.8,10.18,53,97.8,97,23.5,16,879,184,180,52,15,2.4,18.8,47.69,63.07,16831,0,1,63,10,6,9,11
Napa County Office of Education (Napa),Napa,County Office of Education (COE),No,06-12,94559,"""Napa                          """,200,30.5,0,0.5,1,0,70.5,0,1,0,27,58,21,29,64.9,64.9,13.2,1,14,N/A,N/A,2,12,12,32.8,0,9.68,N/A,0,0,28,3,15,42,4
Napa Valley Unified (Napa),Napa,Unified School District,No,K-12,94558,"""Napa                          """,16381,22.6,0.1,2.8,2.4,6.5,58.6,0.2,5.1,0.1,24.2,64.8,21.16,43,92.8,91.5,22.5,35,667,185,180,89,14,3.9,18.5,29.75,44.67,17390,0,1,57,10,7,12,11
National Elementary (San Diego),San Diego,Elementary School District,No,K-08,91950,"""National City                 """,4360,48.7,0,1,1.5,9.2,83.3,0.2,1.9,1.4,1.5,85,14.24,17,N/A,N/A,23,10,175,185,180,15,15,2.7,24.7,27.9,33.84,28064,0,0,61,9,7,9,13
Natomas Unified (Sacramento),Sacramento,Unified School District,No,K-12,95834,"""Sacramento                    """,16773,13.1,0.4,19.8,17.7,3.8,32.9,1.4,10.9,0.1,13,56.7,16.48,69,95.5,94.3,22.5,13,680,183,180,85,11,5.7,17.4,29.51,41.38,19021,0,1,61,8,8,12,10
Needles Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92363,"""Needles                       """,921,0.1,11.7,0.7,4.1,0.4,34.7,0.2,5.8,0,42.3,82.2,1.3,53,100,100,17.7,1,52,185,180,1,17,4.6,22.9,19.2,31.74,21374,0,0,54,7,10,9,13
Nevada City Elementary (Nevada),Nevada,Elementary School District,No,K-08,95959,"""Nevada City                   """,691,0.7,0.7,1.3,0.7,0.1,9.4,0.3,6.4,0,81,35.2,0.72,21,N/A,N/A,19,0,39,186,180,1,14,3.4,18.4,41.28,58.6,16056,0,0,48,7,10,13,12
Nevada County Office of Education (Nevada),Nevada,County Office of Education (COE),No,K-12,95945,"""Grass Valley                  """,3243,4.6,0.7,0.7,2.2,0.2,39.7,0.2,5.1,2.4,48.8,53.7,5.58,42,29.4,25,16.9,6,193,185,180,19,13,1.5,45.8,25.13,38.92,N/A,0,1,26,18,19,12,14
Nevada Joint Union High (Nevada),Nevada,High School District,No,09-12,95945,"""Grass Valley                  """,2765,1,0.8,0.9,0.7,0.5,17.5,0.1,7.1,0.6,71.8,35.9,5.5,30,89.6,85.3,19.7,6,137,185,180,20,13,5.1,26.2,35.12,63.32,20072,0,4,51,14,9,10,12
New Haven Unified (Alameda),Alameda,Unified School District,No,K-12,94587,"""Union City                    """,10069,16,0.8,28.6,3.9,17.1,36.6,1.5,5.3,0.5,5.6,57.1,26.34,61,91.6,90.4,24.5,32,348,185,180,75,14,2.2,20.5,38.45,50.51,18391,0,1,62,8,8,11,10
New Hope Elementary (San Joaquin),San Joaquin,Elementary School District,No,K-08,95686,"""Thornton                      """,164,37.8,0,0,1.2,0.6,90.2,0,2.4,0,5.5,78,17.07,11,N/A,N/A,15.4,0,11,184,180,0,22,0.6,22.3,18.75,38.39,22595,0,0,61,5,11,8,15
New Jerusalem Elementary (San Joaquin),San Joaquin,Elementary School District,No,K-12,95304,"""Tracy                         """,7267,13.4,0.7,9.6,10.1,2.5,46.6,1.2,6.5,0,22.8,62.6,12.81,56,75.6,73.5,21.9,31,663,N/A,N/A,76,9,1.7,12.2,24.16,30.57,356868,0,0,8,10,27,16,27
Newark Unified (Alameda),Alameda,Unified School District,No,K-12,94560,"""Newark                        """,4666,21.3,0.2,18.2,2.6,8.2,51.7,2.1,5.9,3,8.3,40.1,21.13,51,89.4,87.3,22.6,37,147,186,180,68,12,3.6,23.8,38.52,49.1,18375,0,1,57,12,7,10,12
Newcastle Elementary (Placer),Placer,Elementary School District,No,K-08,95658,"""Newcastle                     """,2175,5.3,0.4,18.3,0.5,4.4,13.4,0.1,8.4,0.2,54.4,14.6,9.47,48,N/A,N/A,21.7,6,94,184,180,12,11,1.2,3.3,58.09,70.64,24457,0,0,51,7,12,7,8
Newhall (Los Angeles),Los Angeles,Elementary School District,No,K-06,91355,"""Valencia                      """,6022,18.3,0.2,11.4,2,3.6,44.8,0.1,6.6,3.3,28,46.6,7.95,53,N/A,N/A,22.3,28,224,184,180,52,14,0.6,9.4,63.56,69.37,16843,0,0,65,6,8,10,9
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,No,K-12,95360,"""Newman                        """,3085,30.1,0.2,0.6,2,1,82.2,0.1,2.9,0,11.1,68.2,16.66,20,97.4,97.2,18.8,8,148,N/A,N/A,18,12,3.9,18.7,21.73,38.63,21327,0,3,52,13,8,11,13
Newport-Mesa Unified (Orange),Orange,Unified School District,No,K-12,92626,"""Costa Mesa                    """,17635,15.4,0.1,5.3,0.7,0.7,45.9,0.4,6.5,1.4,39.2,50.7,18.84,46,94.8,93.3,18.3,25,924,188,180,77,15,2,13.5,50.34,61.7,28980,0,1,54,7,8,14,15
Nicasio (Marin),Marin,Elementary School District,No,K-08,94946,"""Nicasio                       """,34,20.6,0,0,0,5.9,52.9,0,2.9,0,38.2,52.9,14.71,41,N/A,N/A,11.3,1,2,186,180,1,6,0,16.7,14.29,35,37303,0,0,39,4,11,21,12
Norris Elementary (Kern),Kern,Elementary School District,No,K-08,93312,"""Bakersfield                   """,4153,5,0.5,4.3,2,2.6,44.6,0.1,4.8,0.1,41.1,37.3,5.9,47,N/A,N/A,21.1,53,126,N/A,N/A,72,10,1.5,9.5,44.29,55.44,12978,0,0,55,8,6,8,12
North County Joint Union Elementary (San Benito),San Benito,Elementary School District,No,K-08,95023,"""Hollister                     """,762,11.2,0,0.9,0.4,0.3,58.9,0,0.4,3.3,35.8,42.8,13.52,34,N/A,N/A,22.4,1,32,187,180,2,15,0.5,3.9,53.53,60.79,14723,0,2,61,6,7,10,8
North Cow Creek Elementary (Shasta),Shasta,Elementary School District,No,K-08,96073,"""Palo Cedro                    """,270,N/A,3.3,0,0.4,0,7.4,0,10.7,0.4,77.8,27,0.37,24,N/A,N/A,21.4,0,12,186,180,1,14,1.1,3.7,42.7,59.89,14166,0,2,63,4,6,11,13
North Monterey County Unified (Monterey),Monterey,Unified School District,No,K-12,95012,"""Castroville                   """,4290,46.3,0.1,0.4,0.2,0.4,91.9,0.1,0.4,0.3,6.2,86.2,25.27,9,90.2,90.4,21.5,17,161,N/A,N/A,40,11,3.8,23.4,16.55,29.05,23874,0,0,58,11,10,11,8
Northern Humboldt Union High (Humboldt),Humboldt,High School District,No,K-12,95519,"""McKinleyville                 """,1937,2.8,5,2,1,0.2,16.7,0.2,11.4,3.2,60.4,43.6,4.34,40,97.3,97.6,17.4,12,110,N/A,N/A,17,13,5.2,33.7,30.4,56.42,22308,0,1,52,14,7,15,10
Novato Unified (Marin),Marin,Unified School District,No,K-12,94945,"""Novato                        """,7516,17.5,0.3,4.5,2,0.7,44.2,0.2,8,0.6,39.5,46.6,19.15,48,95,93.2,19.5,40,347,186,180,51,14,1.7,12.8,41.53,52.7,18474,0,1,61,9,6,11,9
Nuestro Elementary (Sutter),Sutter,Elementary School District,No,K-12,95953,"""Live Oak                      """,884,5.1,2,8,2,2.1,23.5,0.2,3.6,0.1,58.3,43.4,5.54,43,100,100,23.5,0,37,183,180,1,15,0.1,2.1,29.91,35.51,14861,0,0,57,3,10,13,12
Nuview Union (Riverside),Riverside,Elementary School District,No,K-12,92567,"""Nuevo                         """,2224,22.5,0.1,0.4,1.1,0.5,85.5,0.4,2.7,0,9.3,84.5,20.64,16,99.4,99.3,24.3,1,84,184,180,9,14,3.6,17.7,25.61,43.99,19831,0,0,54,13,7,6,16
Oak Grove Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95119,"""San Jose                      """,8578,24.2,0.4,21.4,2.5,3.7,51.9,0.5,6.8,0.4,12.4,43.1,14.42,50,N/A,N/A,21.5,25,358,186,180,47,15,2.1,17.5,43.66,48.4,18793,0,0,63,8,7,8,8
Oak Grove Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-12,95401,"""Santa Rosa                    """,1240,7.3,1.8,1.5,1.5,0.3,32,0.1,8,0.6,54.2,38.7,12.58,43,47.2,44.8,16.8,5,83,185,180,5,15,3.1,30,40.25,55.89,20624,0,0,63,7,13,11,6
Oak Park Unified (Ventura),Ventura,Unified School District,No,K-12,91377,"""Oak Park                      """,4437,4.8,0.1,23.6,1.2,1.8,11.2,0.3,8.5,0,53.3,12.3,20.24,48,96.7,95.7,23.1,4,190,185,180,7,17,1.1,6.6,72.29,80.34,14418,0,2,62,9,10,8,9
Oak Run Elementary (Shasta),Shasta,Elementary School District,No,01-08,96069,"""Oak Run                       """,26,11.5,11.5,3.8,0,0,15.4,0,0,0,69.2,96.2,0,33,N/A,N/A,13,1,1,N/A,N/A,1,16,3.2,37,redacted,redacted,80089,0,0,38,19,13,18,12
Oak Valley Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93274,"""Tulare                        """,562,19.2,0,0,1.1,0.2,79.5,0,0.4,0.9,18,65.3,22.95,21,N/A,N/A,18.1,0,31,185,180,1,11,0.5,4.5,37.46,53.03,18285,0,5,54,6,7,6,22
Oak View Union Elementary (San Joaquin),San Joaquin,Elementary School District,No,K-08,95220,"""Acampo                        """,365,21.1,0,2.2,0,0.3,53.7,0,4.7,0,39.2,40,13.15,40,N/A,N/A,18.4,0,20,187,180,0,17,0.3,7.2,54.32,58.85,14453,0,0,62,7,7,15,9
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,No,K-12,95361,"""Oakdale                       """,5118,9.9,0.4,0.9,0.9,0.5,43.1,0.1,3.8,0,50.2,40.7,9.34,40,97.3,96.8,21.5,7,226,182,180,14,16,5.6,17.2,36.48,50.46,17239,0,0,64,12,5,9,9
Oakland Unified (Alameda),Alameda,Unified School District,No,K-12,94607,"""Oakland                       """,44647,32.1,0.3,9.1,19.5,0.7,50.9,0.7,6.1,2.7,10,80.2,18.84,51,78.6,77.9,17.7,346,2042,186,180,586,9,3.7,29.8,26.92,33.66,28286,0,2,56,6,6,19,10
Oakley Union Elementary (Contra Costa),Contra Costa,Elementary School District,No,K-08,94561,"""Oakley                        """,5131,13.3,0.3,4.6,9.7,6.7,47.1,0.6,6,0.2,24.8,43.7,7.72,55,N/A,N/A,20.6,18,217,184,180,37,13,5.9,19.6,24.32,35.95,17191,0,0,60,12,7,11,8
Ocean View (Orange),Orange,Elementary School District,No,K-08,92647,"""Huntington Beach              """,6658,17.5,0.2,13.8,1.2,0.9,42.1,0.5,7.6,1.6,32.2,57.8,10.95,53,N/A,N/A,22.1,12,285,184,180,18,21,0.8,11.9,50.17,56.93,18862,0,5,60,6,9,10,10
Ocean View (Ventura),Ventura,Elementary School District,No,K-08,93033,"""Oxnard                        """,2077,52.5,0.1,0,1.8,2.2,87.4,0.4,2,0,6,75.3,14.64,14,N/A,N/A,22,4,90,183,180,5,14,2.8,19.7,21.67,28.68,19347,0,0,51,10,7,13,12
Oceanside Unified (San Diego),San Diego,Unified School District,No,K-12,92058,"""Oceanside                     """,17467,10,0.3,1.8,3.7,1.9,57.1,1.4,7.8,1.2,24.8,66.5,16.6,43,87.7,86,20.5,24,806,185,180,58,16,3,22.2,31.78,42.2,20901,0,0,59,11,6,11,13
Ojai Unified (Ventura),Ventura,Unified School District,No,K-12,93023,"""Ojai                          """,2084,7.1,0.4,1.1,1,0.2,38.9,0.2,4.3,0,53.8,50.9,14.78,40,86.9,87.3,21.8,6,86,184,180,13,16,0.6,24.9,28.98,41.88,16694,0,0,52,13,10,12,12
Old Adobe Union (Sonoma),Sonoma,Elementary School District,No,K-06,94954,"""Petaluma                      """,1881,19.5,0.3,2.2,1.3,0.8,41.5,0.2,6.4,0,47.3,37.3,11.11,44,N/A,N/A,22.7,9,74,N/A,N/A,15,12,0.9,10.9,44.43,51.84,21102,0,0,69,8,5,9,8
Ontario-Montclair (San Bernardino),San Bernardino,Elementary School District,No,K-08,91762,"""Ontario                       """,17695,26.2,0.7,2.8,3.4,0.5,88.1,0.3,0.8,0,3.3,86.8,17.59,14,N/A,N/A,18.7,31,894,184,180,53,17,1.6,10,34.82,44.73,24903,0,0,65,10,6,8,11
Orange Center (Fresno),Fresno,Elementary School District,No,K-12,93706,"""Fresno                        """,1801,13.3,0.7,5.1,6.4,0.8,67.2,0.4,3.3,0.1,16,80.1,10.16,36,59,57.3,16.5,9,442,N/A,N/A,25,10,0.3,13.5,24.36,44.37,25939,0,0,51,8,11,6,22
Orange County Department of Education (Orange),Orange,County Office of Education (COE),No,K-12,92628,"""Costa Mesa                    """,14203,14.2,0.3,15.8,2.7,1.6,48.2,0.6,6.1,1.6,23.1,49.5,21.96,52,67.5,59.6,19.4,63,767,182,180,194,11,0.9,20.4,7.03,19.22,N/A,0,0,23,7,10,41,7
Orange Unified (Orange),Orange,Unified School District,No,K-12,92867,"""Orange                        """,24960,15.5,0.1,10.4,1.2,2.1,57.7,0.2,4.4,1.6,22.4,57.6,21.61,43,97.2,97.2,24.1,28,984,185,180,69,15,1,15.4,45.98,59.34,18412,0,0,57,12,5,14,11
Orchard Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95131,"""San Jose                      """,741,39.5,0.7,30.2,3.9,6.2,47,1.3,5.4,0.8,4.5,50.1,18.08,52,N/A,N/A,15,2,46,185,180,3,12,1.7,19.5,26.67,38.62,23662,0,0,71,8,6,10,4
Orcutt Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-12,93455,"""Orcutt                        """,4911,10,0.5,1,0.9,1.3,58.2,0.1,5.7,3.6,28.6,62.8,8.49,38,100,100,22,10,212,185,180,17,14,5.1,15.2,39.38,46.73,15461,0,0,62,9,1,13,10
Orick Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95555,"""Orick                         """,8,N/A,0,0,0,0,37.5,0,12.5,0,50,100,N/A,43,N/A,N/A,4,0,0,184,180,2,2,0,0,redacted,redacted,118208,0,0,29,12,12,27,14
Orinda Union (Contra Costa),Contra Costa,Elementary School District,No,K-08,94563,"""Orinda                        """,2594,2.1,0.2,19.2,0.8,1.2,8.1,0.1,16.7,1.4,52.3,3.3,8.75,49,N/A,N/A,19.2,0,140,186,180,2,11,0.6,5.1,83.49,87.41,17537,0,0,63,7,8,9,11
Orland Joint Unified (Glenn),Glenn,Unified School District,No,K-12,95963,"""Orland                        """,2191,25.2,1,1.5,0.3,0.1,69.2,0.1,1.3,0.3,26.2,84.6,18.76,30,95.9,95.5,18.6,20,82,183,180,39,11,7.4,13.8,12.69,24.48,17782,0,1,55,7,6,7,17
Oro Grande (San Bernardino),San Bernardino,Elementary School District,No,K-12,92368,"""Oro Grande                    """,6163,12,0.9,0.5,9.6,0.2,63.9,0.5,4.1,0.6,19.6,82.2,11.46,38,79.6,78.4,22.7,6,266,185,180,22,10,2.3,10.7,14.29,23.81,137939,0,0,24,7,18,6,42
Oroville City Elementary (Butte),Butte,Elementary School District,No,K-12,95966,"""Oroville                      """,2528,6.1,2.7,9.9,3,0.4,21.1,0.2,14.5,0.2,48.2,71.3,2.65,54,redacted,redacted,17.3,13,128,184,180,22,12,6.8,32.2,17.73,26.58,22829,0,0,53,7,5,9,20
Oroville Union High (Butte),Butte,High School District,No,09-12,95966,"""Oroville                      """,2230,5.2,5.2,12.8,3.6,0.6,22.3,0.7,5.8,0.2,48.8,78,14.8,54,88.1,86.6,18.8,20,88,184,180,34,11,5.7,30.7,13.53,37.8,22060,0,3,50,17,6,8,14
Outside Creek Elementary (Tulare),Tulare,Elementary School District,No,K-08,93292,"""Visalia                       """,125,28.8,0,0.8,0,0,79.2,0,0,0,20,54.4,5.6,21,N/A,N/A,26,1,4,N/A,N/A,1,7,0,13.4,40.45,53.93,12030,0,0,60,7,9,7,16
Owens Valley Unified (Inyo),Inyo,Unified School District,No,K-12,93526,"""Independence                  """,99,5.1,17.2,1,2,1,42.4,0,16.2,0,20.2,50.5,3.03,58,redacted,redacted,12,0,8,N/A,N/A,1,12,0.9,29.9,11.48,29.51,35229,0,0,55,5,10,16,13
Oxnard (Ventura),Ventura,Elementary School District,No,K-08,93030,"""Oxnard                        """,13003,47,0.1,0.7,0.7,1.1,94,0.1,0.8,0,2.5,88.3,18.08,7,N/A,N/A,18.8,38,638,186,180,61,15,2.4,20.5,21.74,33.66,25508,0,0,59,15,7,11,8
Oxnard Union High (Ventura),Ventura,High School District,No,K-12,93030,"""Oxnard                        """,16895,13,0.1,1.9,1.1,2.9,81.2,0.2,3,0,9.5,72,45.98,21,92.4,92,21.9,10,750,184,180,37,16,4.5,24.5,19.29,44.7,20875,0,3,52,14,9,10,11
Pacheco Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96002,"""Redding                       """,711,1.5,3.1,1.5,0.6,0.6,16.7,0,11,1,65.5,59.1,2.25,36,N/A,N/A,19,1,35,184,180,3,11,2.8,14.1,33.02,42.19,16411,0,0,61,10,7,11,10
